"Story","Title","Result","Date","Stability","Duration (s)"
"Autenticación de usuario en la api","Autenticacion exitosa","SUCCESS","2021-05-27T11:54:33.0911213-05:00[America/Bogota]","0.0","3.84"
"Autenticación de usuario en la api","Autenticacion fallida","SUCCESS","2021-05-27T11:54:36.9539855-05:00[America/Bogota]","0.0","0.07"
