"Story","Title","Result","Date","Stability","Duration (s)"
"administrar informacion de citas","Consulta fallida","FAILURE","2021-05-27T11:54:40.2736816-05:00[America/Bogota]","0.0","0.14"
"administrar informacion de citas","Creacion de citas fallida","FAILURE","2021-05-27T11:54:39.7337587-05:00[America/Bogota]","0.0","0.11"
